2017  1  1  12
2017  1  2  12
2017  1  3  11
2017  1  4   0
2017  1  5   0
2017  1  6   0
2017  1  7   0
2017  1  8   0
2017  1  9   0
2017  1 10   0
2017  1 11   0
2017  1 12  11
2017  1 13  26
2017  1 14  31
2017  1 15  30
2017  1 16  25
2017  1 17  30
2017  1 18  36
2017  1 19  33
2017  1 20  56
2017  1 21  75
2017  1 22  68
2017  1 23  57
2017  1 24  43
2017  1 25  47
2017  1 26  40
2017  1 27  30
2017  1 28  30
2017  1 29  34
2017  1 30  35
2017  1 31  36
2017  2  1  47
2017  2  2  47
2017  2  3  39
2017  2  4  20
2017  2  5  14
2017  2  6  13
2017  2  7  13
2017  2  8  11
2017  2  9  19
2017  2 10  24
2017  2 11  23
2017  2 12  21
2017  2 13  19
2017  2 14  16
2017  2 15  24
2017  2 16  19
2017  2 17  14
2017  2 18  13
2017  2 19  27
2017  2 20  32
2017  2 21  27
2017  2 22  29
2017  2 23  24
2017  2 24  27
2017  2 25  32
2017  2 26  38
2017  2 27  50
2017  2 28  58
2017  3  1  59
2017  3  2  56
2017  3  3  39
2017  3  4   0
2017  3  5  14
2017  3  6   0
2017  3  7   0
2017  3  8   0
2017  3  9   0
2017  3 10   0
2017  3 11   0
2017  3 12   0
2017  3 13   0
2017  3 14   0
2017  3 15   0
2017  3 16   0
2017  3 17   0
2017  3 18   0
2017  3 19   0
2017  3 20   0
2017  3 21  13
2017  3 22  14
2017  3 23  14
2017  3 24  14
2017  3 25  18
2017  3 26  31
2017  3 27  52
2017  3 28  57
2017  3 29  52
2017  3 30  49
2017  3 31  66
2017  4  1  71
2017  4  2  83
2017  4  3 100
2017  4  4  76
2017  4  5  50
2017  4  6  36
2017  4  7  23
2017  4  8   0
2017  4  9  12
2017  4 10  14
2017  4 11  14
2017  4 12  22
2017  4 13  25
2017  4 14  19
2017  4 15   0
2017  4 16   0
2017  4 17   0
2017  4 18  23
2017  4 19  15
2017  4 20  28
2017  4 21  40
2017  4 22  30
2017  4 23  43
2017  4 24  46
2017  4 25  41
2017  4 26  38
2017  4 27  26
2017  4 28  36
2017  4 29  34
2017  4 30  24
2017  5  1  12
2017  5  2  29
2017  5  3  18
2017  5  4  17
2017  5  5  31
2017  5  6  27
2017  5  7  23
2017  5  8  11
2017  5  9   0
2017  5 10   0
2017  5 11  11
2017  5 12  15
2017  5 13   0
2017  5 14   0
2017  5 15   0
2017  5 16  25
2017  5 17  12
2017  5 18  24
2017  5 19  25
2017  5 20  30
2017  5 21  37
2017  5 22  50
2017  5 23  55
2017  5 24  20
